Generation  Build-date           NixOS version            Kernel   Configuration Revision  Specialisation  Current
32          2026-01-11 23:13:47  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
31          2026-01-11 23:13:06  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
30          2026-01-11 22:37:18  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
29          2026-01-11 22:30:26  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
28          2026-01-11 22:15:48  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
27          2026-01-11 22:12:45  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
26          2026-01-11 22:10:52  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
25          2026-01-11 22:08:09  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
24          2026-01-11 22:04:52  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
23          2026-01-11 22:00:07  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
22          2026-01-11 21:49:32  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
21          2026-01-11 21:35:46  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
20          2026-01-11 21:24:13  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
19          2026-01-11 21:20:29  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
18          2026-01-11 21:19:40  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
17          2026-01-11 20:46:56  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
16          2026-01-11 20:46:20  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
15          2026-01-11 20:43:17  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
14          2026-01-11 06:25:23  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
13          2026-01-11 05:23:29  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
12          2026-01-11 06:21:14  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
11          2026-01-11 05:23:29  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
10          2026-01-11 05:12:41  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
9           2026-01-11 05:06:10  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
8           2026-01-11 05:02:26  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
7           2026-01-11 04:41:15  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
6           2026-01-11 04:32:45  25.05.20260102.ac62194   6.12.63  Unknown                 []              False
5           2026-01-11 03:22:04  25.11.3357.d351d0653aeb  6.12.63  Unknown                 []              False
4           2026-01-11 03:07:51  25.11.3357.d351d0653aeb  6.12.63  Unknown                 []              False
3           2026-01-11 02:56:13  25.11.3357.d351d0653aeb  6.12.63  Unknown                 []              False
2           2026-01-11 01:53:36  25.11.3357.d351d0653aeb  6.12.63  Unknown                 []              False
1           2026-01-11 01:14:41  25.11.3357.d351d0653aeb  6.12.63  Unknown                 []              False
